Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2024-05-18;3;10;19;15;9
2024-05-19;3;9;16;13;8
2024-05-21;7;19;18;29;8
2024-05-24;3;12;16;17;9
2024-05-27;3;10;23;15;12
2024-05-29;6;20;23;28;10
2024-06-02;4;12;16;18;9
2024-06-03;4;16;16;22;7
2024-06-04;6;24;19;34;8
2024-06-11;4;17;15;23;8
2024-06-13;7;22;16;31;8
2024-06-21;5;12;15;19;6
2024-06-23;3;7;14;12;6
2024-06-25;4;10;16;16;7
2024-06-28;3;8;22;13;10
2024-07-02;5;11;14;19;6
2024-07-04;4;12;17;18;8
2024-07-11;3;7;27;12;14
2024-07-16;3;8;25;13;13
2024-07-18;5;11;21;18;9
2024-07-19;5;13;21;21;10
2024-07-21;3;8;24;12;10
2024-07-23;6;15;30;23;11
2024-07-26;3;9;15;14;7
2024-07-30;6;18;29;27;12
2024-08-03;3;10;30;14;15
2024-08-05;4;10;26;16;12
2024-08-10;4;12;21;18;10
2024-08-12;4;9;20;15;9
2024-08-14;5;13;24;21;11
2024-08-15;3;7;12;11;5
2024-08-22;4;10;33;16;22
2024-09-02;3;9;32;13;16
2024-09-09;5;13;29;20;10
2024-09-12;7;12;32;22;11
2024-09-16;5;14;28;22;9
2024-09-29;2;7;18;11;8
2024-09-30;7;15;30;26;11
2024-10-03;3;9;22;15;6
2024-10-07;14;15;70;36;24
2024-10-10;6;12;18;21;5
2024-10-17;5;12;16;19;5
2024-10-20;2;11;23;15;12
2024-10-23;4;29;15;36;8
2024-10-24;15;38;26;62;13
2024-10-25;25;34;41;72;23
2024-10-30;2;10;162;13;50
2024-10-31;4;11;103;16;35
2024-11-01;3;9;24;13;11
2024-11-04;4;16;36;21;17
2024-11-05;8;20;63;32;28
2024-11-07;7;16;35;27;16
2024-11-09;7;20;58;29;27
2024-11-11;12;26;49;44;14
2024-11-14;2;10;27;13;13
2024-11-18;23;26;72;61;25
2024-11-21;7;19;43;30;9
